#Volt	AUPD1_light	
#V	A	
-0.70086479187012	-2.41985274190362E-4
-0.69390296936035	-2.40112253525572E-4
-0.68692398071289	-2.38053227369952E-4
-0.679954528808592	-2.36101699122506E-4
-0.672977447509764	-2.34125374411512E-4
-0.66602325439453	-2.32159730806294E-4
-0.659060478210448	-2.30018087607156E-4
-0.652079582214354	-2.27874034610856E-4
-0.645092964172362	-2.25654381504562E-4
-0.638114929199218	-2.23365755230468E-4
-0.63112449645996	-2.21110316054244E-4
-0.624135971069334	-2.19051141469088E-4
-0.617151260375976	-2.16932507758308E-4
-0.61017894744873	-2.14945050832164E-4
-0.603209495544432	-2.13067385196034E-4
-0.596238136291502	-2.11164733921458E-4
-0.58925437927246	-2.0921642455766E-4
-0.582155227661132	-2.0727412222447E-4
-0.575055122375488	-2.05310696331132E-4
-0.567937850952148	-2.0335013134433E-4
-0.560823440551758	-2.01402465175186E-4
-0.55372428894043	-1.9953545736177E-4
-0.546748161315918	-1.97712867814396E-4
-0.539773941040038	-1.95903342976516E-4
-0.532800674438476	-1.94053715970648E-4
-0.52582550048828	-1.92222517510224E-4
-0.518847465515134	-1.90397398839984E-4
-0.511871337890622	-1.88547864966374E-4
-0.504885673522948	-1.86697236788738E-4
-0.497909545898436	-1.84813660164642E-4
-0.490938186645508	-1.8296391383307E-4
-0.483954429626466	-1.8102170754252E-4
-0.476978302001954	-1.79078453514074E-4
-0.47000503540039	-1.77130190716406E-4
-0.463032722473144	-1.75243750275394E-4
-0.4560489654541	-1.73398366608008E-4
-0.449081420898436	-1.7162117321538E-4
-0.44209575653076	-1.6984865098754E-4
-0.435117721557616	-1.68028968912828E-4
-0.428139686584472	-1.66224927236604E-4
-0.421147346496582	-1.64395731119716E-4
-0.414152145385742	-1.625552107024E-4
-0.407174110412598	-1.60716480170656E-4
-0.40019416809082	-1.5886435023537E-4
-0.393095970153808	-1.56956690191572E-4
-0.38600444793701	-1.55031174947788E-4
-0.37892150878906	-1.53097766745184E-4
-0.371821403503416	-1.51132195899542E-4
-0.364715576171874	-1.4927181502832E-4
-0.357735633850098	-1.47489543017278E-4
-0.350762367248536	-1.456830216947E-4
-0.343770980834962	-1.43963212324584E-4
-0.336795806884766	-1.42300551235954E-4
-0.329828262329102	-1.40600794405024E-4
-0.32284927368164	-1.3890353759313E-4
-0.31586742401123	-1.37235535951612E-4
-0.308895111083984	-1.35483112829088E-4
-0.301906585693358	-1.33726350325442E-4
-0.294917106628416	-1.3197881373605E-4
-0.28793144226074	-1.3021244405797E-4
-0.280957221984862	-1.28470440106748E-4
-0.273977279663086	-1.2679378298605E-4
-0.26700782775879	-1.25134125412722E-4
-0.26003932952881	-1.23494614966028E-4
-0.253056526184084	-1.2188562279595E-4
-0.246073722839356	-1.20244086722656E-4
-0.239104270935058	-1.1859487451408E-4
-0.23212432861328	-1.16956892018486E-4
-0.225136756896972	-1.15296496663056E-4
-0.218164443969726	-1.1363510013586E-4
-0.211181640625	-1.12025154815336E-4
-0.204068183898926	-1.10374631479196E-4
-0.196968078613282	-1.08748664500004E-4
-0.189871788024902	-1.0713731346447E-4
-0.182767868041992	-1.05514517347608E-4
-0.17567253112793	-1.03878489174228E-4
-0.16869354248047	-1.0231317457771E-4
-0.161692619323732	-1.00765039972311E-4
-0.154690742492678	-9.92062431786221E-5
-0.147695541381838	-9.76506507166665E-5
-0.140696525573732	-9.61027634938251E-5
-0.13370704650879	-9.45295748559761E-5
-0.126739501953126	-9.29367556844841E-5
-0.11977481842041	-9.13966551914814E-5
-0.112812995910644	-8.98886838721115E-5
-0.105839729309082	-8.83947769788096E-5
-0.0988655090332024	-8.6905218197778E-5
-0.0918836593627922	-8.54518369331956E-5
-0.0849084854125976	-8.40536976492032E-5
-0.0779275894165038	-8.26886043095031E-5
-0.0709543228149412	-8.13369191044942E-5
-0.0639762878417968	-7.99944365306758E-5
-0.0570030212402342	-7.86120336878115E-5
-0.0500154495239256	-7.71341528187507E-5
-0.0430402755737304	-7.56694734471851E-5
-0.0360651016235352	-7.42233055669815E-5
-0.0290870666503906	-7.28003348948435E-5
-0.0221090316772461	-7.13997901792639E-5
-0.0149898529052735	-7.00365245601163E-5
-0.00785732269287109	-6.86547765534373E-5
-7.40051269531288E-4	-6.72488723674791E-5
0.00637531280517571	-6.58662687081844E-5
0.0134897232055664	-6.45145543993452E-5
0.0204572677612304	-6.31982085204686E-5
0.0274248123168944	-6.1887257036567E-5
0.0344095230102538	-6.05942291466522E-5
0.0413904190063476	-5.93125037292954E-5
0.048368453979492	-5.8047128843889E-5
0.0553512573242186	-5.67874794095292E-5
0.0623226165771484	-5.55692178048662E-5
0.069284439086914	-5.4358328200458E-5
0.0762491226196288	-5.31166532917882E-5
0.0832157135009766	-5.1891710902844E-5
0.0901803970336922	-5.06839324979116E-5
0.097152709960939	-4.94357848973484E-5
0.104132652282716	-4.82215214313945E-5
0.111115455627442	-4.70305017396348E-5
0.118103981018068	-4.5853870254057E-5
0.125079154968262	-4.46875313381202E-5
0.132065773010254	-4.35827899517495E-5
0.139033317565918	-4.24921078982765E-5
0.145997047424316	-4.14288060009014E-5
0.152954101562498	-4.03541274162011E-5
0.159914970397948	-3.92599099749237E-5
0.166903495788572	-3.81478380612566E-5
0.173875808715818	-3.70259690706622E-5
0.181002616882322	-3.59071065057538E-5
0.188111305236814	-3.48179051096554E-5
0.195252418518064	-3.37956759930124E-5
0.20233917236328	-3.27894277896735E-5
0.209450721740722	-3.17910740003457E-5
0.21642017364502	-3.08131576483604E-5
0.223409652709962	-2.9851036308962E-5
0.23036575317383	-2.88766171460043E-5
0.237339019775392	-2.79023886131356E-5
0.244315147399904	-2.69650248109133E-5
0.251289367675782	-2.60280684623172E-5
0.258265495300294	-2.51174121539112E-5
0.265250205993652	-2.42175584597749E-5
0.272229194641112	-2.33590682208774E-5
0.279205322265624	-2.25283532225762E-5
0.286169052124022	-2.170736363302E-5
0.2931432723999	-2.0864315522765E-5
0.30011463165283	-2.00289519151442E-5
0.307094573974608	-1.92028506015663E-5
0.314079284667966	-1.83719358782287E-5
0.32106018066406	-1.75862870699963E-5
0.328039169311522	-1.68194782626118E-5
0.335014343261718	-1.60741506286898E-5
0.341992378234862	-1.53327069009422E-5
0.348964691162108	-1.46053226879914E-5
0.355942726135254	-1.3879702894762E-5
0.36291790008545	-1.3168931693933E-5
0.369902610778808	-1.24774892564048E-5
0.377001762390136	-1.17859203991132E-5
0.384111404418946	-1.10992679063814E-5
0.391229629516602	-1.04400501394296E-5
0.398350715637206	-9.80243305354385E-6
0.40546989440918	-9.17102381469465E-6
0.412477493286134	-8.56112558073377E-6
0.419474601745606	-7.98188259329201E-6
0.426458358764648	-7.39948984379907E-6
0.433430671691894	-6.82587590096545E-6
0.440405845642088	-6.27529654854469E-6
0.447363853454588	-5.74792249869231E-6
0.45432662963867	-5.21503236347369E-6
0.461294174194334	-4.70068764376945E-6
0.468270301818846	-4.20032649605443E-6
0.475249290466308	-3.70282962000371E-6
0.48223304748535	-3.21429831534939E-6
0.489212036132812	-2.74032320054855E-6
0.496190071105958	-2.27510947558355E-6
0.503162384033204	-1.82305450186275E-6
0.510127067565918	-1.37657998299571E-6
0.517097473144532	-9.35260298199387E-7
0.524069786071778	-5.02854570975127E-7
0.53105640411377	-7.73677678511971E-8
0.538042068481446	3.47887395498709E-7
0.545016288757326	7.67418810262399E-7
0.551974296569826	1.18552590516404E-6
0.558945655822754	1.60137007492952E-6
0.566030502319336	2.02531214677723E-6
0.573111534118652	2.44756561949774E-6
0.580205917358398	2.87029576123364E-6
0.587309837341308	3.29258553131925E-6
0.594409942626954	3.72137965508275E-6
0.601384162902832	4.14179601387561E-6
0.608355522155762	4.56564610170291E-6
0.615326881408692	4.99470768512083E-6
0.622308731079102	5.42916684674539E-6
0.629284858703614	5.86287603903885E-6
0.636254310607912	6.30656848182527E-6
0.64323425292969	6.75781227722157E-6
0.650203704833986	7.21951489789037E-6
0.657168388366702	7.68474590325469E-6
0.66413974761963	8.15777255150581E-6
0.671113967895508	8.64071796707551E-6
0.67808723449707	9.13893107020387E-6
0.68507194519043	9.62157107745275E-6
0.69204807281494	1.01672087813609E-5
